PreferredLoginDevice,PreferredPaymentMode,PreferedOrderCat,MaritalStatus,Tenure,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,Churn
0,4,0,2,3.0,6.0,2.0,4,3,2,22.0,2.0,5.0,8.0,184.74,0
0,4,2,2,0.0,26.0,2.0,3,3,2,14.0,1.0,1.0,7.0,199.81,0
0,5,2,2,0.0,32.0,2.0,4,5,6,15.0,0.0,1.0,1.0,166.96,1
0,3,0,2,18.0,12.0,2.0,4,2,7,12.0,12.0,12.0,8.0,188.65,0
1,5,2,0,27.0,9.0,2.0,3,5,3,14.0,1.0,1.0,5.0,159.4,0
1,4,2,2,9.0,11.0,3.0,3,4,9,16.0,0.0,3.0,7.0,159.14,0
1,4,0,1,11.0,9.0,3.0,3,3,1,12.0,1.0,5.0,13.0,206.08999999999997,0
0,3,2,0,4.0,6.0,2.0,5,3,1,12.0,1.0,1.0,4.0,143.45,0
0,5,4,1,10.0,10.0,2.0,3,2,5,17.0,1.0,5.0,8.0,0.0,0
0,3,0,0,2.0,6.0,2.0,3,2,2,14.0,4.0,4.0,1.0,179.18,0
0,5,0,2,8.0,6.0,3.0,3,3,2,14.0,1.0,1.0,8.0,187.89,0
2,4,3,2,25.0,8.0,2.0,4,2,8,15.0,0.0,2.0,2.0,132.12,0
2,4,4,0,5.0,10.0,2.0,3,4,3,11.0,1.0,1.0,2.0,139.31,0
2,4,4,2,0.0,6.0,3.0,4,3,1,14.0,1.0,1.0,2.0,137.3,1
0,5,2,0,5.0,32.0,3.0,3,2,1,18.0,1.0,2.0,2.0,144.65,0
2,1,2,1,13.0,30.0,3.0,3,2,2,17.0,2.0,4.0,7.0,133.19,0
1,4,2,0,7.0,8.0,2.0,4,5,7,13.0,0.0,5.0,9.0,159.57,0
2,3,4,0,10.0,6.0,2.0,4,5,3,14.0,1.0,1.0,2.0,139.2,0
0,4,2,0,18.0,13.0,3.0,2,3,5,17.0,0.0,1.0,2.0,164.34,0
0,3,0,1,0.0,16.0,3.0,3,3,7,11.0,1.0,1.0,0.0,200.48,1
1,4,2,2,15.0,23.0,2.0,2,5,4,13.0,0.0,1.0,2.0,165.45,0
1,5,2,1,2.0,26.0,2.0,3,2,3,14.0,1.0,1.0,2.0,169.31,0
2,4,2,0,0.0,6.0,3.0,3,3,1,12.0,1.0,1.0,2.0,148.98,0
0,0,3,2,0.0,35.0,3.0,4,4,1,11.0,1.0,1.0,4.0,134.79,1
0,4,2,0,11.0,8.0,2.0,4,2,4,18.0,6.0,7.0,5.0,152.49,0
2,4,3,2,0.0,8.0,3.0,3,3,3,11.0,1.0,1.0,0.0,134.85,1
1,3,2,0,2.0,8.0,3.0,4,4,3,19.0,0.0,1.0,0.0,166.44,0
1,3,2,0,4.0,29.0,3.0,4,2,1,21.0,1.0,7.0,8.0,155.82,0
0,4,2,1,0.0,11.0,2.0,2,5,2,12.0,1.0,1.0,5.0,140.0,0
2,4,3,0,9.0,12.0,2.0,3,2,1,11.0,4.0,10.0,11.0,132.1,0
1,3,2,0,10.0,12.0,3.0,3,2,5,14.0,0.0,1.0,1.0,165.02,0
2,0,3,2,0.0,9.0,3.0,4,3,2,17.0,1.0,1.0,0.0,132.3,0
1,3,2,1,11.0,13.0,2.0,2,5,2,24.0,0.0,7.0,7.0,156.05,0
0,4,2,1,0.0,6.0,2.0,3,4,2,20.0,0.0,1.0,4.0,163.97,0
2,4,2,0,15.0,6.0,2.0,3,3,2,25.0,4.0,11.0,6.0,149.07,0
0,4,2,2,2.0,8.0,2.0,3,2,2,18.0,0.0,1.0,9.0,145.54,0
1,1,2,0,28.0,26.0,2.0,3,2,4,19.0,1.0,1.0,8.0,154.15,0
0,3,2,0,0.0,17.0,2.0,3,5,2,13.0,2.0,3.0,3.0,147.41,0
1,4,2,1,11.0,29.0,2.0,3,2,10,14.0,0.0,1.0,2.0,157.45,0
2,4,3,2,1.0,14.0,3.0,3,2,2,21.0,0.0,1.0,2.0,133.1,0
2,1,2,2,9.0,9.0,1.0,3,4,5,12.0,6.0,7.0,7.0,144.85,0
1,5,2,2,0.0,10.0,2.0,4,2,2,12.0,7.0,7.0,4.0,158.28,1
1,5,0,0,8.0,22.0,3.0,3,4,1,15.0,3.0,6.0,9.0,180.2,0
0,4,4,0,9.0,24.0,2.0,2,2,5,18.0,0.0,1.0,0.0,136.88,0
1,3,2,1,24.0,8.0,2.0,5,4,6,18.0,0.0,1.0,2.0,154.82,0
1,3,4,2,0.0,16.0,3.0,4,3,2,12.0,1.0,1.0,0.0,112.0,0
1,3,2,2,1.0,22.0,3.0,2,5,1,19.0,0.0,1.0,7.0,156.61,0
1,1,2,0,4.0,13.0,3.0,2,2,5,11.0,3.0,7.0,7.0,169.29,0
1,3,0,1,12.0,6.0,2.0,2,2,1,17.0,3.0,3.0,7.0,196.13,0
0,4,2,0,9.0,30.0,2.0,3,4,8,15.0,0.0,1.0,8.0,156.74,0
1,4,2,0,5.0,13.0,3.0,4,3,2,14.0,1.0,4.0,8.0,154.84,0
0,4,2,1,30.0,6.0,2.0,5,3,3,13.0,1.0,1.0,2.0,156.6,0
2,1,4,0,4.0,11.0,2.0,3,2,1,12.0,0.0,1.0,3.0,148.21,0
1,6,2,0,4.0,8.0,3.0,4,5,4,12.0,0.0,1.0,0.0,164.1,0
0,4,0,1,18.0,13.0,3.0,3,5,2,18.0,5.0,9.0,11.0,152.1,0
2,3,2,0,15.0,14.0,2.0,4,4,3,15.0,7.0,7.0,7.0,149.41,1
1,1,2,0,5.0,14.0,3.0,4,4,2,11.0,6.0,11.0,9.0,152.28,0
2,4,2,2,0.0,8.0,3.0,3,3,2,11.0,1.0,1.0,4.0,144.78,0
1,5,2,1,4.0,13.0,3.0,3,2,5,12.0,0.0,1.0,7.0,175.47,0
1,3,2,2,5.0,8.0,3.0,2,2,8,16.0,1.0,1.0,7.0,150.55,0
2,0,3,0,0.0,8.0,2.0,5,2,6,13.0,2.0,2.0,2.0,134.64,1
1,3,2,0,3.0,34.0,3.0,3,2,2,13.0,0.0,1.0,9.0,157.75,0
0,4,0,0,4.0,13.0,2.0,4,3,2,24.0,3.0,8.0,9.0,189.43,0
1,3,2,0,2.0,9.0,2.0,3,3,5,18.0,1.0,1.0,0.0,152.38,1
0,5,2,2,6.0,16.0,2.0,4,2,4,14.0,1.0,1.0,1.0,146.82,0
0,4,2,1,16.0,16.0,2.0,4,3,2,11.0,0.0,1.0,0.0,152.57,0
0,5,2,0,0.0,6.0,3.0,3,4,1,13.0,0.0,1.0,4.0,163.49,0
0,4,2,2,27.0,26.0,2.0,3,3,4,12.0,1.0,1.0,3.0,148.69,0
1,4,0,0,16.0,13.0,2.0,3,5,9,16.0,1.0,1.0,0.0,199.85,0
2,6,2,0,18.0,14.0,3.0,3,2,10,14.0,7.0,9.0,8.0,136.97,0
1,3,2,0,13.0,6.0,2.0,5,2,3,22.0,1.0,1.0,2.0,174.57,0
2,6,4,2,2.0,15.0,1.0,4,2,1,17.0,2.0,2.0,2.0,139.83,0
1,5,2,1,3.0,11.0,1.0,4,3,2,13.0,0.0,1.0,2.0,161.18,0
1,5,2,0,0.0,14.0,2.0,3,4,2,18.0,0.0,1.0,7.0,162.14,0
1,3,2,1,10.0,11.0,3.0,3,2,8,16.0,0.0,1.0,4.0,163.47,0
1,3,0,2,4.0,13.0,2.0,3,2,2,14.0,2.0,4.0,10.0,171.43,0
1,5,2,1,2.0,16.0,2.0,4,4,2,14.0,0.0,1.0,7.0,182.68,0
1,1,0,2,8.0,11.0,3.0,3,4,1,13.0,0.0,1.0,13.0,180.95,0
1,3,2,2,14.0,12.0,3.0,4,4,7,15.0,1.0,1.0,2.0,160.32,0
0,4,2,0,2.0,8.0,3.0,3,3,2,14.0,1.0,1.0,2.0,146.49,0
1,3,2,1,10.0,12.0,2.0,2,5,5,13.0,2.0,6.0,7.0,159.74,0
0,1,2,0,3.0,31.0,2.0,3,3,8,12.0,1.0,2.0,2.0,147.36,0
1,4,2,0,0.0,6.0,2.0,3,3,2,17.0,2.0,7.0,7.0,152.96,0
1,6,2,2,15.0,8.0,3.0,4,2,4,23.0,0.0,1.0,0.0,167.81,0
0,3,2,2,9.0,6.0,2.0,3,2,5,15.0,1.0,1.0,0.0,166.53,0
0,3,0,0,9.0,9.0,2.0,4,2,5,11.0,0.0,1.0,12.0,196.99,0
1,3,2,0,30.0,6.0,2.0,3,3,3,11.0,1.0,1.0,2.0,167.55,0
2,0,3,0,10.0,16.0,3.0,3,5,7,20.0,1.0,1.0,3.0,134.52,0
0,3,2,0,19.0,13.0,1.0,3,3,3,14.0,0.0,1.0,0.0,152.58,0
0,5,2,2,4.0,10.0,2.0,3,4,2,18.0,7.0,7.0,7.0,193.55,1
1,2,0,2,23.0,16.0,3.0,4,2,7,15.0,0.0,1.0,3.0,204.96,0
1,5,2,0,3.0,28.0,3.0,4,3,3,12.0,1.0,1.0,0.0,163.8,1
1,4,2,2,8.0,15.0,3.0,4,4,10,19.0,1.0,1.0,0.0,165.4,0
2,3,4,1,0.0,6.0,2.0,3,4,2,11.0,0.0,1.0,4.0,138.16,0
1,4,2,2,1.0,15.0,3.0,3,2,2,16.0,1.0,1.0,7.0,152.53,0
2,6,0,2,22.0,13.0,2.0,4,3,9,24.0,1.0,1.0,0.0,145.0,0
2,4,2,0,24.0,20.0,2.0,3,2,5,11.0,0.0,1.0,7.0,149.36,0
0,5,2,2,0.0,25.0,3.0,2,2,9,13.0,1.0,1.0,4.0,153.04,1
2,5,2,1,0.0,16.0,3.0,3,3,2,12.0,0.0,1.0,3.0,142.6,0
1,3,0,0,9.0,8.0,3.0,4,3,2,13.0,9.0,9.0,0.0,175.96,0
1,5,2,1,13.0,8.0,2.0,3,4,8,12.0,0.0,1.0,3.0,157.15,0
2,4,2,2,10.0,16.0,2.0,3,4,3,12.0,0.0,1.0,1.0,141.97,0
2,0,2,0,13.0,8.0,3.0,4,3,7,22.0,1.0,1.0,0.0,134.48,0
0,5,2,0,7.0,10.0,3.0,3,3,10,15.0,1.0,1.0,2.0,165.38,0
2,3,2,0,4.0,13.0,2.0,3,5,2,12.0,3.0,3.0,12.0,143.06,0
2,6,2,1,16.0,14.0,3.0,3,3,5,14.0,0.0,1.0,2.0,145.22,0
2,4,2,2,0.0,10.0,2.0,4,2,2,11.0,0.0,1.0,3.0,144.87,0
0,3,2,0,10.0,31.0,3.0,3,3,4,15.0,3.0,10.0,7.0,144.49,0
0,4,5,1,12.0,6.0,2.0,3,3,2,14.0,0.0,1.0,6.0,291.97,0
1,1,2,2,3.0,18.0,2.0,3,3,1,11.0,3.0,4.0,4.0,165.77,0
1,5,0,0,14.0,6.0,2.0,2,5,2,16.0,1.0,1.0,7.0,183.92,0
2,3,2,1,1.0,23.0,3.0,3,5,2,12.0,0.0,1.0,8.0,145.58,0
2,3,4,0,0.0,9.0,3.0,3,5,6,13.0,1.0,1.0,2.0,140.31,1
1,3,0,0,25.0,9.0,2.0,4,3,3,14.0,0.0,1.0,4.0,179.69,0
0,4,2,1,15.0,35.0,3.0,3,3,3,11.0,1.0,1.0,2.0,145.56,0
1,4,2,2,3.0,8.0,2.0,5,2,3,20.0,0.0,1.0,2.0,160.91,0
2,3,2,1,19.0,24.0,2.0,3,3,3,14.0,0.0,1.0,8.0,148.1,0
0,1,2,0,15.0,34.0,2.0,4,2,1,11.0,0.0,1.0,4.0,145.23,0
2,1,3,2,0.0,6.0,3.0,3,4,2,16.0,1.0,1.0,4.0,132.02,1
0,6,0,0,3.0,28.0,3.0,3,5,1,11.0,2.0,7.0,8.0,184.12,0
0,5,0,0,30.0,34.0,3.0,4,5,5,19.0,13.0,13.0,11.0,202.66,0
1,3,2,1,20.0,8.0,3.0,3,2,6,13.0,0.0,1.0,4.0,150.7,0
2,4,4,2,8.0,28.0,2.0,5,3,1,15.0,2.0,4.0,3.0,142.3,0
2,4,2,2,27.0,14.0,2.0,3,3,8,11.0,1.0,1.0,0.0,137.8,0
1,5,0,0,19.0,16.0,3.0,4,2,3,19.0,1.0,1.0,2.0,190.71,0
1,4,0,1,4.0,15.0,2.0,3,4,2,25.0,1.0,1.0,8.0,206.48000000000002,0
2,0,3,1,0.0,16.0,2.0,5,2,8,13.0,0.0,1.0,3.0,134.08,1
1,4,0,0,8.0,22.0,3.0,3,3,5,12.0,0.0,1.0,0.0,176.32,0
0,4,0,0,0.0,26.0,3.0,3,3,4,12.0,1.0,1.0,0.0,198.24,1
0,6,0,1,0.0,29.0,2.0,3,5,10,15.0,1.0,1.0,2.0,199.5,1
0,3,0,2,9.0,16.0,2.0,3,2,2,14.0,1.0,9.0,7.0,199.8,0
0,1,4,2,0.0,10.0,2.0,4,3,6,16.0,1.0,1.0,2.0,138.94,1
2,5,2,0,21.0,8.0,2.0,3,2,3,14.0,4.0,6.0,7.0,140.51,0
0,4,2,2,14.0,16.0,2.0,3,2,8,14.0,0.0,1.0,10.0,162.3,0
2,5,2,0,8.0,6.0,2.0,3,3,10,11.0,3.0,6.0,9.0,147.17,0
0,4,4,0,12.0,14.0,2.0,3,3,2,11.0,0.0,1.0,7.0,137.55,0
1,4,2,2,4.0,8.0,3.0,3,2,5,13.0,1.0,1.0,5.0,165.82,0
1,3,0,0,15.0,30.0,2.0,3,5,2,21.0,4.0,5.0,8.0,174.06,0
2,6,2,0,18.0,8.0,3.0,3,4,1,19.0,3.0,3.0,7.0,148.05,0
2,1,2,1,2.0,25.0,2.0,3,2,5,12.0,0.0,1.0,2.0,142.62,0
0,6,2,2,14.0,8.0,3.0,4,3,3,17.0,0.0,1.0,7.0,168.11,0
2,3,2,1,0.0,35.0,2.0,3,3,6,12.0,1.0,1.0,0.0,143.06,0
2,3,2,2,8.0,6.0,3.0,3,3,2,16.0,0.0,1.0,3.0,148.59,0
1,4,2,2,7.0,27.0,3.0,2,2,2,12.0,5.0,5.0,7.0,153.37,0
1,1,0,2,10.0,6.0,2.0,3,2,5,17.0,1.0,1.0,2.0,174.91,0
0,3,0,0,19.0,24.0,2.0,3,3,6,11.0,1.0,1.0,2.0,205.27,0
0,3,0,1,10.0,15.0,3.0,3,4,2,13.0,6.0,7.0,7.0,188.34,0
1,1,2,1,25.0,12.0,3.0,3,5,4,12.0,2.0,6.0,9.0,155.77,0
0,6,2,0,0.0,17.0,2.0,2,3,9,12.0,1.0,1.0,2.0,147.07,1
1,3,2,0,11.0,16.0,3.0,3,3,4,19.0,1.0,1.0,0.0,198.24,0
1,4,2,0,10.0,6.0,3.0,3,4,7,12.0,3.0,4.0,3.0,164.47,0
1,5,2,0,0.0,34.0,3.0,3,4,2,20.0,1.0,1.0,4.0,162.72,0
2,4,4,0,7.0,6.0,2.0,4,2,2,13.0,0.0,1.0,3.0,136.22,0
2,3,2,1,0.0,19.0,2.0,3,5,3,17.0,0.0,1.0,2.0,142.33,1
2,6,2,2,8.0,31.0,2.0,4,2,5,14.0,0.0,1.0,2.0,136.81,0
1,3,2,1,4.0,12.0,3.0,2,2,5,22.0,3.0,5.0,7.0,154.6,0
1,5,2,0,10.0,8.0,3.0,3,3,5,11.0,0.0,1.0,0.0,196.02,0
2,4,2,0,15.0,8.0,2.0,3,2,2,13.0,2.0,2.0,2.0,140.89,0
0,3,2,1,16.0,15.0,3.0,3,3,4,13.0,2.0,4.0,7.0,156.79,0
1,4,2,2,17.0,6.0,2.0,4,3,5,11.0,1.0,1.0,2.0,159.85,0
2,1,3,2,0.0,28.0,2.0,3,3,2,11.0,1.0,1.0,2.0,134.47,0
1,5,2,1,6.0,14.0,2.0,3,3,1,12.0,1.0,1.0,2.0,171.04,0
1,4,2,0,5.0,15.0,3.0,3,2,2,12.0,1.0,1.0,5.0,163.22,0
1,3,2,2,26.0,6.0,2.0,3,5,8,20.0,6.0,8.0,10.0,183.81,0
0,4,2,0,8.0,32.0,3.0,3,5,3,14.0,0.0,1.0,0.0,142.86,1
2,4,3,0,0.0,12.0,3.0,3,2,2,13.0,0.0,1.0,2.0,126.59,0
1,6,0,0,10.0,9.0,2.0,3,3,2,15.0,6.0,7.0,8.0,194.34,0
1,3,2,0,2.0,9.0,3.0,3,3,2,14.0,0.0,1.0,2.0,155.61,0
1,4,2,2,8.0,12.0,2.0,5,2,2,13.0,11.0,11.0,8.0,166.46,0
0,4,2,1,6.0,12.0,1.0,3,2,4,23.0,4.0,4.0,7.0,177.25,0
1,3,0,0,27.0,25.0,2.0,3,4,3,15.0,3.0,7.0,1.0,207.25,0
1,3,2,1,9.0,15.0,2.0,4,4,3,11.0,1.0,1.0,2.0,188.47,0
1,3,4,2,0.0,16.0,2.0,3,3,2,11.0,0.0,1.0,1.0,110.09,1
0,4,3,2,0.0,9.0,3.0,3,5,2,11.0,9.0,9.0,7.0,133.48,1
2,4,2,0,0.0,14.0,2.0,2,4,1,22.0,0.0,1.0,2.0,148.51,0
2,5,2,2,11.0,13.0,2.0,4,2,1,20.0,1.0,1.0,5.0,140.28,0
1,5,2,0,21.0,8.0,2.0,2,4,4,12.0,2.0,2.0,2.0,181.2,0
0,3,2,1,0.0,9.0,3.0,2,2,2,20.0,1.0,1.0,4.0,146.47,0
2,4,4,2,10.0,16.0,3.0,2,2,4,17.0,1.0,1.0,0.0,146.8,0
2,0,3,0,23.0,34.0,3.0,2,3,2,11.0,3.0,3.0,8.0,132.21,0
1,3,0,2,7.0,15.0,2.0,4,4,2,14.0,4.0,7.0,7.0,186.21,0
2,4,2,2,0.0,9.0,3.0,3,3,10,14.0,1.0,2.0,0.0,145.77,1
2,1,2,2,12.0,8.0,3.0,4,3,2,11.0,2.0,11.0,10.0,145.53,0
1,5,2,2,5.0,16.0,2.0,3,2,2,12.0,0.0,1.0,8.0,153.96,0
0,1,2,0,13.0,14.0,2.0,3,3,4,14.0,1.0,1.0,3.0,167.96,1
1,4,2,2,11.0,6.0,2.0,2,2,1,13.0,1.0,1.0,8.0,176.25,0
1,4,0,0,0.0,6.0,3.0,3,5,2,11.0,1.0,1.0,7.0,174.12,0
1,5,2,2,20.0,20.0,2.0,3,5,3,12.0,0.0,1.0,7.0,149.6,0
0,4,0,0,13.0,11.0,2.0,4,5,6,21.0,0.0,1.0,12.0,204.75,0
1,5,2,2,30.0,22.0,2.0,3,5,9,14.0,1.0,2.0,2.0,154.05,0
0,4,0,1,0.0,16.0,2.0,3,5,2,21.0,1.0,1.0,7.0,187.93,0
2,5,4,0,23.0,14.0,2.0,3,4,8,15.0,1.0,2.0,2.0,138.75,0
1,4,0,2,11.0,6.0,2.0,3,3,5,14.0,0.0,1.0,0.0,178.61,0
0,3,4,2,17.0,30.0,2.0,5,3,3,14.0,0.0,1.0,4.0,137.08,0
1,5,2,1,3.0,33.0,2.0,3,2,8,23.0,4.0,7.0,7.0,153.04,0
0,4,2,0,16.0,21.0,2.0,4,2,4,18.0,0.0,2.0,2.0,168.04,0
1,3,2,2,7.0,14.0,3.0,3,3,4,11.0,1.0,4.0,3.0,161.42,0
1,6,2,0,12.0,9.0,2.0,2,4,10,15.0,3.0,3.0,6.0,163.89,0
1,3,2,2,0.0,13.0,2.0,4,5,9,19.0,1.0,1.0,7.0,168.11,0
0,4,2,1,8.0,8.0,3.0,3,5,3,11.0,0.0,1.0,0.0,150.93,0
0,4,2,0,5.0,30.0,3.0,3,2,2,15.0,2.0,4.0,7.0,153.09,0
1,4,2,1,7.0,14.0,2.0,3,5,4,14.0,1.0,1.0,0.0,151.21,0
1,3,2,2,0.0,32.0,2.0,3,2,2,23.0,0.0,1.0,4.0,161.8,0
1,1,2,2,18.0,8.0,2.0,5,3,1,13.0,0.0,3.0,1.0,166.32,0
2,3,3,2,0.0,16.0,3.0,2,3,2,18.0,1.0,1.0,2.0,135.05,0
1,6,2,2,7.0,8.0,2.0,3,2,2,22.0,0.0,1.0,4.0,162.74,0
0,4,0,2,9.0,14.0,3.0,4,5,2,15.0,0.0,1.0,9.0,175.87,0
0,3,4,0,25.0,25.0,2.0,3,2,1,18.0,1.0,1.0,2.0,142.58,0
0,4,4,1,0.0,6.0,3.0,5,2,4,14.0,2.0,2.0,0.0,143.64,0
2,3,2,0,2.0,33.0,3.0,3,3,5,12.0,1.0,1.0,1.0,143.35,0
1,1,2,2,0.0,14.0,2.0,4,5,7,17.0,1.0,1.0,2.0,153.26,1
1,3,2,1,27.0,25.0,3.0,3,5,10,11.0,0.0,1.0,4.0,154.85,0
0,5,2,0,2.0,5.0,2.0,3,2,1,19.0,0.0,1.0,1.0,143.42,0
2,3,4,2,7.0,8.0,2.0,4,5,2,11.0,1.0,1.0,3.0,143.81,0
2,4,4,0,3.0,6.0,2.0,5,3,4,21.0,1.0,1.0,2.0,138.33,0
1,4,2,0,7.0,14.0,3.0,3,5,6,17.0,1.0,1.0,2.0,165.0,0
1,5,2,2,0.0,22.0,3.0,3,5,6,15.0,1.0,1.0,2.0,153.24,1
1,6,2,0,9.0,6.0,2.0,3,4,1,15.0,0.0,1.0,5.0,152.28,0
1,4,2,0,15.0,6.0,2.0,4,2,10,13.0,0.0,1.0,2.0,160.62,0
2,3,4,2,0.0,8.0,2.0,3,3,7,17.0,0.0,2.0,1.0,143.82,1
1,4,2,0,5.0,10.0,3.0,4,3,2,12.0,1.0,6.0,8.0,161.62,0
0,3,2,2,13.0,22.0,2.0,4,3,7,14.0,1.0,1.0,0.0,150.94,0
1,3,2,2,3.0,8.0,2.0,4,2,6,24.0,1.0,1.0,0.0,168.77,0
2,4,2,0,15.0,35.0,3.0,3,4,2,13.0,2.0,7.0,8.0,144.34,0
0,4,2,1,11.0,18.0,2.0,4,5,3,15.0,1.0,1.0,2.0,162.88,0
1,5,0,0,12.0,17.0,2.0,3,2,2,18.0,0.0,7.0,7.0,176.54,1
1,3,2,2,18.0,8.0,2.0,3,2,5,16.0,0.0,7.0,3.0,151.6,1
1,6,0,2,8.0,13.0,2.0,3,3,4,21.0,0.0,1.0,6.0,202.21,0
2,5,2,0,1.0,8.0,2.0,3,4,2,20.0,7.0,7.0,5.0,147.79,0
2,6,4,0,7.0,9.0,2.0,3,2,1,19.0,1.0,1.0,2.0,137.37,0
1,3,2,2,17.0,10.0,2.0,3,4,10,12.0,1.0,2.0,3.0,159.33,0
1,4,2,0,9.0,6.0,2.0,3,2,2,14.0,2.0,4.0,11.0,162.01,0
2,4,2,1,5.0,19.0,3.0,3,2,3,11.0,0.0,1.0,3.0,144.03,0
0,4,4,1,3.0,11.0,3.0,4,2,10,12.0,0.0,1.0,3.0,137.61,0
1,5,0,1,18.0,15.0,3.0,3,5,5,12.0,1.0,1.0,2.0,207.61,0
1,5,2,1,10.0,22.0,3.0,4,3,5,19.0,1.0,1.0,0.0,163.34,0
2,3,4,1,1.0,14.0,3.0,4,2,2,13.0,0.0,1.0,4.0,149.36,0
2,4,2,0,0.0,6.0,2.0,4,2,7,22.0,2.0,2.0,2.0,147.75,0
2,6,2,0,0.0,9.0,3.0,3,5,2,18.0,1.0,1.0,3.0,141.94,0
